PING 10.79.140.204 (10.79.140.204) 56(84) bytes of data.
64 bytes from 10.79.140.204: icmp_seq=255 ttl=64 time=36.6 ms
64 bytes from 10.79.140.204: icmp_seq=256 ttl=64 time=61.6 ms
64 bytes from 10.79.140.204: icmp_seq=257 ttl=64 time=88.0 ms
64 bytes from 10.79.140.204: icmp_seq=258 ttl=64 time=104 ms
64 bytes from 10.79.140.204: icmp_seq=259 ttl=64 time=27.8 ms
64 bytes from 10.79.140.204: icmp_seq=260 ttl=64 time=47.0 ms
64 bytes from 10.79.140.204: icmp_seq=261 ttl=64 time=72.4 ms
64 bytes from 10.79.140.204: icmp_seq=262 ttl=64 time=94.4 ms
64 bytes from 10.79.140.204: icmp_seq=263 ttl=64 time=15.7 ms
64 bytes from 10.79.140.204: icmp_seq=264 ttl=64 time=54.2 ms
64 bytes from 10.79.140.204: icmp_seq=265 ttl=64 time=58.9 ms
64 bytes from 10.79.140.204: icmp_seq=266 ttl=64 time=81.1 ms
64 bytes from 10.79.140.204: icmp_seq=267 ttl=64 time=104 ms
64 bytes from 10.79.140.204: icmp_seq=268 ttl=64 time=22.9 ms
64 bytes from 10.79.140.204: icmp_seq=269 ttl=64 time=6.33 ms
64 bytes from 10.79.140.204: icmp_seq=271 ttl=64 time=7.12 ms
64 bytes from 10.79.140.204: icmp_seq=272 ttl=64 time=107 ms
64 bytes from 10.79.140.204: icmp_seq=273 ttl=64 time=28.9 ms
64 bytes from 10.79.140.204: icmp_seq=274 ttl=64 time=49.1 ms
64 bytes from 10.79.140.204: icmp_seq=275 ttl=64 time=77.7 ms
64 bytes from 10.79.140.204: icmp_seq=276 ttl=64 time=105 ms
64 bytes from 10.79.140.204: icmp_seq=277 ttl=64 time=16.0 ms
64 bytes from 10.79.140.204: icmp_seq=278 ttl=64 time=36.7 ms
64 bytes from 10.79.140.204: icmp_seq=279 ttl=64 time=59.4 ms
64 bytes from 10.79.140.204: icmp_seq=280 ttl=64 time=6.15 ms
64 bytes from 10.79.140.204: icmp_seq=281 ttl=64 time=107 ms
64 bytes from 10.79.140.204: icmp_seq=282 ttl=64 time=27.8 ms
64 bytes from 10.79.140.204: icmp_seq=283 ttl=64 time=50.2 ms
64 bytes from 10.79.140.204: icmp_seq=284 ttl=64 time=69.4 ms
64 bytes from 10.79.140.204: icmp_seq=285 ttl=64 time=6.38 ms
64 bytes from 10.79.140.204: icmp_seq=286 ttl=64 time=4.48 ms
64 bytes from 10.79.140.204: icmp_seq=287 ttl=64 time=127 ms
64 bytes from 10.79.140.204: icmp_seq=288 ttl=64 time=53.9 ms
64 bytes from 10.79.140.204: icmp_seq=289 ttl=64 time=4.92 ms
64 bytes from 10.79.140.204: icmp_seq=290 ttl=64 time=103 ms
64 bytes from 10.79.140.204: icmp_seq=291 ttl=64 time=24.5 ms
64 bytes from 10.79.140.204: icmp_seq=292 ttl=64 time=71.5 ms
64 bytes from 10.79.140.204: icmp_seq=293 ttl=64 time=70.3 ms
64 bytes from 10.79.140.204: icmp_seq=294 ttl=64 time=91.5 ms
64 bytes from 10.79.140.204: icmp_seq=295 ttl=64 time=112 ms
64 bytes from 10.79.140.204: icmp_seq=296 ttl=64 time=37.2 ms
64 bytes from 10.79.140.204: icmp_seq=297 ttl=64 time=55.5 ms
64 bytes from 10.79.140.204: icmp_seq=298 ttl=64 time=77.5 ms
64 bytes from 10.79.140.204: icmp_seq=299 ttl=64 time=99.7 ms
64 bytes from 10.79.140.204: icmp_seq=300 ttl=64 time=24.9 ms
64 bytes from 10.79.140.204: icmp_seq=301 ttl=64 time=42.5 ms
64 bytes from 10.79.140.204: icmp_seq=302 ttl=64 time=65.3 ms
64 bytes from 10.79.140.204: icmp_seq=303 ttl=64 time=5.97 ms
64 bytes from 10.79.140.204: icmp_seq=304 ttl=64 time=111 ms
64 bytes from 10.79.140.204: icmp_seq=305 ttl=64 time=39.6 ms
64 bytes from 10.79.140.204: icmp_seq=306 ttl=64 time=51.9 ms
64 bytes from 10.79.140.204: icmp_seq=307 ttl=64 time=74.7 ms
64 bytes from 10.79.140.204: icmp_seq=308 ttl=64 time=96.8 ms
64 bytes from 10.79.140.204: icmp_seq=309 ttl=64 time=9.99 ms
64 bytes from 10.79.140.204: icmp_seq=310 ttl=64 time=44.8 ms
64 bytes from 10.79.140.204: icmp_seq=311 ttl=64 time=61.1 ms
64 bytes from 10.79.140.204: icmp_seq=312 ttl=64 time=86.2 ms
64 bytes from 10.79.140.204: icmp_seq=313 ttl=64 time=5.29 ms
64 bytes from 10.79.140.204: icmp_seq=314 ttl=64 time=3.94 ms
64 bytes from 10.79.140.204: icmp_seq=315 ttl=64 time=49.9 ms
64 bytes from 10.79.140.204: icmp_seq=316 ttl=64 time=79.5 ms
64 bytes from 10.79.140.204: icmp_seq=317 ttl=64 time=97.0 ms
64 bytes from 10.79.140.204: icmp_seq=318 ttl=64 time=16.6 ms
64 bytes from 10.79.140.204: icmp_seq=319 ttl=64 time=38.5 ms
64 bytes from 10.79.140.204: icmp_seq=320 ttl=64 time=61.8 ms
64 bytes from 10.79.140.204: icmp_seq=321 ttl=64 time=85.2 ms
